seq_name,_PolarizabilityC1,_PolarizabilityC2,_PolarizabilityC3,_SolventAccessibilityC1,_SolventAccessibilityC2,_SolventAccessibilityC3,_SecondaryStrC1,_SecondaryStrC2,_SecondaryStrC3,_ChargeC1,_ChargeC2,_ChargeC3,_PolarityC1,_PolarityC2,_PolarityC3,_NormalizedVDWVC1,_NormalizedVDWVC2,_NormalizedVDWVC3,_HydrophobicityC1,_HydrophobicityC2,_HydrophobicityC3,_PolarizabilityT12,_PolarizabilityT13,_PolarizabilityT23,_SolventAccessibilityT12,_SolventAccessibilityT13,_SolventAccessibilityT23,_SecondaryStrT12,_SecondaryStrT13,_SecondaryStrT23,_ChargeT12,_ChargeT13,_ChargeT23,_PolarityT12,_PolarityT13,_PolarityT23,_NormalizedVDWVT12,_NormalizedVDWVT13,_NormalizedVDWVT23,_HydrophobicityT12,_HydrophobicityT13,_HydrophobicityT23,_PolarizabilityD1001,_PolarizabilityD1025,_PolarizabilityD1050,_PolarizabilityD1075,_PolarizabilityD1100,_PolarizabilityD2001,_PolarizabilityD2025,_PolarizabilityD2050,_PolarizabilityD2075,_PolarizabilityD2100,_PolarizabilityD3001,_PolarizabilityD3025,_PolarizabilityD3050,_PolarizabilityD3075,_PolarizabilityD3100,_SolventAccessibilityD1001,_SolventAccessibilityD1025,_SolventAccessibilityD1050,_SolventAccessibilityD1075,_SolventAccessibilityD1100,_SolventAccessibilityD2001,_SolventAccessibilityD2025,_SolventAccessibilityD2050,_SolventAccessibilityD2075,_SolventAccessibilityD2100,_SolventAccessibilityD3001,_SolventAccessibilityD3025,_SolventAccessibilityD3050,_SolventAccessibilityD3075,_SolventAccessibilityD3100,_SecondaryStrD1001,_SecondaryStrD1025,_SecondaryStrD1050,_SecondaryStrD1075,_SecondaryStrD1100,_SecondaryStrD2001,_SecondaryStrD2025,_SecondaryStrD2050,_SecondaryStrD2075,_SecondaryStrD2100,_SecondaryStrD3001,_SecondaryStrD3025,_SecondaryStrD3050,_SecondaryStrD3075,_SecondaryStrD3100,_ChargeD1001,_ChargeD1025,_ChargeD1050,_ChargeD1075,_ChargeD1100,_ChargeD2001,_ChargeD2025,_ChargeD2050,_ChargeD2075,_ChargeD2100,_ChargeD3001,_ChargeD3025,_ChargeD3050,_ChargeD3075,_ChargeD3100,_PolarityD1001,_PolarityD1025,_PolarityD1050,_PolarityD1075,_PolarityD1100,_PolarityD2001,_PolarityD2025,_PolarityD2050,_PolarityD2075,_PolarityD2100,_PolarityD3001,_PolarityD3025,_PolarityD3050,_PolarityD3075,_PolarityD3100,_NormalizedVDWVD1001,_NormalizedVDWVD1025,_NormalizedVDWVD1050,_NormalizedVDWVD1075,_NormalizedVDWVD1100,_NormalizedVDWVD2001,_NormalizedVDWVD2025,_NormalizedVDWVD2050,_NormalizedVDWVD2075,_NormalizedVDWVD2100,_NormalizedVDWVD3001,_NormalizedVDWVD3025,_NormalizedVDWVD3050,_NormalizedVDWVD3075,_NormalizedVDWVD3100,_HydrophobicityD1001,_HydrophobicityD1025,_HydrophobicityD1050,_HydrophobicityD1075,_HydrophobicityD1100,_HydrophobicityD2001,_HydrophobicityD2025,_HydrophobicityD2050,_HydrophobicityD2075,_HydrophobicityD2100,_HydrophobicityD3001,_HydrophobicityD3025,_HydrophobicityD3050,_HydrophobicityD3075,_HydrophobicityD3100,druggable
Positive_105,0.347,0.393,0.259,0.408,0.308,0.285,0.387,0.278,0.335,0.092,0.77,0.138,0.326,0.337,0.337,0.421,0.32,0.259,0.308,0.416,0.276,0.264,0.168,0.216,0.26,0.262,0.193,0.212,0.218,0.197,0.14,0.027,0.224,0.205,0.231,0.231,0.27,0.203,0.18,0.275,0.178,0.233,0.418,25.314,46.234,69.665,99.791,0.628,25.941,55.23,81.799,100.0,0.209,22.803,48.117,69.874,99.582,1.883,25.105,47.28,73.013,100.0,0.628,22.803,47.908,76.569,99.791,0.209,26.569,55.021,74.895,99.582,0.209,24.268,51.046,76.151,99.163,0.418,23.222,46.025,73.222,100.0,1.255,25.732,48.745,74.686,99.791,0.837,22.176,44.979,73.64,97.49,0.209,26.778,51.046,73.849,100.0,0.628,15.9,41.841,84.1,99.791,0.209,24.686,50.628,73.849,100.0,0.418,26.569,50.0,74.059,98.954,0.628,23.013,48.326,75.941,99.791,0.418,24.059,47.28,73.222,99.791,0.628,27.824,52.092,81.172,100.0,0.209,22.803,48.117,69.874,99.582,0.628,22.803,47.908,76.569,99.791,0.418,27.406,51.674,73.013,99.582,0.209,19.874,49.163,73.849,100.0,1
Positive_106,0.347,0.393,0.259,0.408,0.308,0.285,0.387,0.278,0.335,0.092,0.77,0.138,0.326,0.337,0.337,0.421,0.32,0.259,0.308,0.416,0.276,0.264,0.168,0.216,0.26,0.262,0.193,0.212,0.218,0.197,0.14,0.027,0.224,0.205,0.231,0.231,0.27,0.203,0.18,0.275,0.178,0.233,0.418,25.314,46.234,69.665,99.791,0.628,25.941,55.23,81.799,100.0,0.209,22.803,48.117,69.874,99.582,1.883,25.105,47.28,73.013,100.0,0.628,22.803,47.908,76.569,99.791,0.209,26.569,55.021,74.895,99.582,0.209,24.268,51.046,76.151,99.163,0.418,23.222,46.025,73.222,100.0,1.255,25.732,48.745,74.686,99.791,0.837,22.176,44.979,73.64,97.49,0.209,26.778,51.046,73.849,100.0,0.628,15.9,41.841,84.1,99.791,0.209,24.686,50.628,73.849,100.0,0.418,26.569,50.0,74.059,98.954,0.628,23.013,48.326,75.941,99.791,0.418,24.059,47.28,73.222,99.791,0.628,27.824,52.092,81.172,100.0,0.209,22.803,48.117,69.874,99.582,0.628,22.803,47.908,76.569,99.791,0.418,27.406,51.674,73.013,99.582,0.209,19.874,49.163,73.849,100.0,1
Positive_107,0.31,0.445,0.245,0.422,0.358,0.22,0.412,0.285,0.304,0.121,0.75,0.13,0.333,0.292,0.375,0.367,0.388,0.245,0.358,0.346,0.296,0.316,0.155,0.204,0.312,0.174,0.146,0.225,0.238,0.19,0.182,0.034,0.195,0.196,0.249,0.226,0.312,0.177,0.182,0.248,0.21,0.21,0.381,27.319,53.24,77.891,99.492,0.254,23.253,48.92,74.079,99.873,0.127,25.413,47.014,72.173,100.0,0.254,26.557,51.334,75.604,99.873,0.508,23.634,47.395,73.698,99.619,0.127,24.905,48.92,78.78,100.0,0.127,23.634,48.158,73.316,100.0,0.254,22.49,45.489,71.919,99.873,0.381,29.733,55.909,80.051,98.856,0.508,22.109,44.727,72.681,99.365,0.127,26.302,51.334,76.493,100.0,1.398,21.347,44.854,68.361,99.619,0.127,25.159,49.301,72.808,100.0,0.381,27.192,52.986,78.399,99.492,0.508,23.761,47.395,74.079,99.746,0.381,28.335,53.875,77.891,99.492,0.254,22.618,47.141,73.443,99.873,0.127,25.413,47.014,72.173,100.0,0.508,23.634,47.395,73.698,99.619,0.381,27.7,51.588,78.78,99.746,0.127,24.651,49.428,72.808,100.0,1
Positive_108,0.409,0.343,0.249,0.497,0.249,0.254,0.459,0.287,0.254,0.094,0.796,0.11,0.337,0.365,0.298,0.453,0.298,0.249,0.249,0.436,0.315,0.278,0.189,0.178,0.294,0.256,0.094,0.289,0.206,0.161,0.167,0.0,0.2,0.2,0.233,0.233,0.25,0.206,0.161,0.2,0.189,0.233,1.657,21.547,53.591,76.796,98.895,2.21,28.729,52.486,77.348,99.448,0.552,22.652,39.779,67.956,100.0,2.762,29.282,49.724,72.928,100.0,2.21,19.337,48.066,67.956,98.895,0.552,16.022,53.591,76.243,95.028,0.552,23.204,42.541,64.088,97.79,1.657,21.547,44.751,79.558,100.0,8.287,30.939,65.193,82.873,98.895,4.972,37.017,48.066,66.851,97.238,0.552,25.967,49.724,74.586,100.0,8.287,19.337,49.171,84.53,98.895,0.552,28.729,49.724,74.033,100.0,1.657,25.414,56.354,76.243,98.343,1.105,14.365,40.884,66.851,98.895,1.657,24.309,56.354,79.558,98.895,2.21,24.862,46.409,64.088,99.448,0.552,22.652,39.779,67.956,100.0,2.21,19.337,48.066,67.956,98.895,1.105,24.309,48.619,74.586,98.343,0.552,28.177,49.724,77.348,100.0,1
Positive_109,0.383,0.418,0.199,0.483,0.274,0.244,0.423,0.289,0.289,0.09,0.791,0.119,0.343,0.368,0.289,0.433,0.368,0.199,0.274,0.418,0.308,0.34,0.155,0.14,0.265,0.19,0.145,0.175,0.235,0.185,0.15,0.02,0.2,0.26,0.175,0.235,0.33,0.175,0.12,0.26,0.15,0.255,0.995,28.358,57.214,79.104,100.0,1.99,23.881,41.791,67.662,99.005,0.498,16.418,53.731,72.637,95.522,1.99,27.861,54.229,79.602,100.0,1.493,18.408,41.294,66.169,97.512,0.498,19.403,48.259,74.129,99.502,0.498,21.891,41.294,67.164,100.0,1.99,27.861,58.706,77.612,99.005,0.995,23.383,49.751,73.632,99.502,1.493,15.92,52.736,66.667,95.522,0.498,24.876,50.249,76.119,100.0,11.443,20.896,39.303,73.134,97.512,0.498,23.881,48.259,75.622,99.005,0.995,28.856,57.711,78.607,100.0,1.493,18.408,42.289,66.169,97.512,0.995,28.358,56.219,78.607,100.0,1.99,21.393,41.791,64.677,99.005,0.498,16.418,53.731,72.637,95.522,1.493,18.408,41.294,66.169,97.512,0.995,28.856,57.214,77.612,100.0,0.498,23.881,47.761,75.622,99.005,1
Positive_110,0.414,0.404,0.181,0.532,0.27,0.199,0.483,0.25,0.267,0.103,0.784,0.113,0.316,0.4,0.284,0.478,0.341,0.181,0.27,0.434,0.297,0.354,0.155,0.143,0.295,0.229,0.103,0.219,0.258,0.14,0.167,0.02,0.177,0.275,0.179,0.243,0.334,0.184,0.113,0.238,0.16,0.27,0.49,26.716,51.716,74.02,100.0,0.735,23.039,49.02,74.755,99.51,0.245,20.833,48.039,74.265,98.284,1.225,26.471,51.961,75.98,100.0,0.735,21.569,54.167,77.206,98.284,0.245,22.304,41.667,67.402,97.304,0.245,24.02,46.324,76.961,100.0,2.451,25.49,51.716,71.078,99.51,0.49,23.775,52.696,73.039,97.549,1.716,24.02,50.245,80.147,98.284,0.245,25.49,48.775,74.02,100.0,0.98,17.892,54.167,75.245,97.549,0.245,24.51,50.0,73.284,99.51,0.49,25.49,46.569,75.49,100.0,0.735,22.059,50.98,75.245,98.284,0.49,25.49,51.225,75.49,100.0,0.735,23.039,49.51,73.775,99.51,0.245,20.833,48.039,74.265,98.284,0.735,21.569,54.167,77.206,98.284,0.49,25.245,46.569,74.02,100.0,0.245,24.51,50.0,73.284,99.51,1
Positive_111,0.364,0.414,0.223,0.446,0.266,0.289,0.36,0.317,0.323,0.08,0.818,0.102,0.316,0.399,0.285,0.458,0.319,0.223,0.266,0.449,0.285,0.323,0.157,0.193,0.245,0.255,0.163,0.227,0.23,0.191,0.141,0.02,0.18,0.261,0.204,0.214,0.304,0.204,0.146,0.232,0.175,0.257,0.178,24.955,49.02,70.232,99.287,0.713,23.529,48.663,74.332,100.0,2.496,33.333,55.615,82.353,99.465,0.535,24.064,46.702,70.588,99.822,2.317,30.66,54.367,80.036,99.465,0.178,24.242,49.376,78.075,100.0,1.07,22.46,45.276,72.727,99.822,0.357,26.203,49.198,75.223,98.93,0.178,25.49,52.05,76.649,100.0,5.348,35.294,53.298,77.718,99.465,0.178,24.064,48.128,72.906,100.0,3.03,33.868,57.754,81.283,99.287,0.891,25.134,49.198,74.51,99.822,0.178,24.242,47.059,69.162,100.0,2.317,26.381,54.189,80.392,99.465,0.178,24.421,49.376,73.797,100.0,0.891,22.103,46.524,71.48,99.822,2.496,33.333,55.615,82.353,99.465,2.317,30.66,54.367,80.036,99.465,0.178,24.242,47.059,70.232,100.0,0.891,24.599,48.841,74.51,99.822,1
Positive_112,0.381,0.353,0.266,0.366,0.349,0.285,0.374,0.3,0.326,0.112,0.767,0.121,0.304,0.328,0.368,0.406,0.328,0.266,0.349,0.4,0.252,0.254,0.195,0.169,0.275,0.22,0.176,0.22,0.242,0.182,0.176,0.025,0.182,0.206,0.212,0.256,0.263,0.212,0.153,0.282,0.169,0.201,1.48,25.159,46.3,72.727,99.366,0.423,22.41,52.431,78.013,99.789,0.211,25.793,52.008,74.419,100.0,0.634,23.044,48.837,75.053,99.577,0.423,26.638,49.26,71.67,100.0,0.211,25.159,50.529,77.167,99.366,0.211,20.719,51.797,70.402,100.0,0.634,25.159,48.203,77.167,99.577,0.423,28.541,49.894,76.321,99.789,0.846,26.85,53.7,73.573,100.0,0.211,23.467,49.683,76.533,99.789,6.554,27.484,46.723,64.905,98.309,0.211,26.004,54.545,79.07,99.577,1.48,23.256,46.512,75.899,99.366,0.423,24.736,49.26,70.825,100.0,1.48,24.736,46.512,75.476,99.366,0.423,23.044,51.797,75.053,99.789,0.211,25.793,52.008,74.419,100.0,0.423,26.638,49.26,71.67,100.0,1.48,23.256,47.357,74.841,99.366,0.211,25.581,54.757,79.07,99.577,1
Positive_113,0.272,0.445,0.283,0.445,0.344,0.211,0.467,0.264,0.269,0.128,0.72,0.152,0.368,0.267,0.365,0.331,0.387,0.283,0.344,0.339,0.317,0.203,0.184,0.257,0.332,0.198,0.134,0.254,0.23,0.168,0.182,0.048,0.209,0.201,0.289,0.198,0.233,0.23,0.211,0.225,0.241,0.217,2.133,27.733,48.267,78.133,100.0,1.067,23.2,53.067,72.533,98.4,0.267,21.333,45.333,74.4,99.2,1.067,28.267,50.667,74.4,99.467,0.533,22.4,53.6,76.8,99.2,0.267,18.667,39.2,69.067,100.0,0.267,20.267,50.667,75.733,99.467,1.067,25.333,47.733,73.333,97.867,2.133,27.467,51.467,72.533,100.0,0.533,13.333,42.667,84.267,99.2,0.267,25.867,48.533,72.533,100.0,2.933,30.667,56.0,84.533,98.4,0.267,23.467,49.867,72.8,98.133,2.133,27.2,47.467,76.533,100.0,0.533,22.4,50.933,75.733,99.2,2.133,27.2,47.467,77.067,100.0,1.067,24.533,54.933,72.8,98.4,0.267,21.333,45.333,74.4,99.2,0.533,22.4,53.6,76.8,99.2,2.133,25.867,45.333,73.067,100.0,0.267,23.467,50.133,73.333,98.133,1
Positive_114,0.372,0.381,0.247,0.453,0.258,0.289,0.436,0.275,0.289,0.092,0.814,0.094,0.308,0.392,0.3,0.447,0.306,0.247,0.258,0.464,0.278,0.259,0.198,0.203,0.265,0.292,0.128,0.273,0.279,0.117,0.148,0.028,0.145,0.22,0.206,0.242,0.248,0.242,0.159,0.237,0.156,0.248,0.833,23.333,47.5,71.111,98.889,0.556,25.278,48.611,74.167,99.722,0.278,26.111,52.5,77.222,100.0,0.833,25.833,50.0,76.944,99.444,0.556,26.389,53.056,77.778,100.0,0.278,22.5,45.278,65.0,99.722,0.278,18.889,48.056,74.444,100.0,1.944,25.0,48.333,71.944,99.444,0.556,30.278,50.833,75.556,99.722,1.389,20.278,53.333,75.278,100.0,0.278,24.722,47.778,73.611,99.722,7.222,20.0,53.056,74.722,96.389,0.278,25.556,48.611,72.778,99.444,0.833,23.333,46.389,71.111,99.722,0.556,26.389,52.5,77.222,100.0,0.833,23.611,47.222,71.111,99.722,0.556,25.556,50.0,74.167,99.444,0.278,26.111,52.5,77.222,100.0,0.556,26.389,53.056,77.778,100.0,0.833,24.444,47.5,73.056,99.722,0.278,23.889,47.778,72.778,99.444,1
Positive_115,0.418,0.344,0.238,0.47,0.267,0.263,0.443,0.248,0.309,0.092,0.783,0.125,0.288,0.407,0.305,0.491,0.271,0.238,0.267,0.484,0.248,0.28,0.195,0.172,0.278,0.272,0.128,0.245,0.262,0.165,0.142,0.025,0.209,0.251,0.199,0.241,0.262,0.226,0.14,0.249,0.157,0.251,0.835,21.921,50.731,73.278,100.0,0.418,26.514,48.434,74.739,99.582,0.209,23.8,53.027,78.079,98.539,0.418,25.052,47.599,74.53,100.0,1.253,24.635,50.939,74.948,98.539,0.209,23.591,51.148,73.904,99.791,0.209,24.217,45.929,72.234,100.0,0.418,23.382,50.731,79.541,99.791,0.626,28.184,55.324,74.948,99.582,8.768,23.8,50.104,77.035,98.539,0.209,25.052,49.061,74.322,100.0,2.714,24.843,51.775,74.948,97.912,0.209,26.096,52.61,77.244,99.374,0.626,21.086,46.973,72.86,100.0,1.253,25.678,50.939,73.069,98.539,0.626,21.921,48.225,72.86,100.0,0.418,26.305,49.061,75.783,99.374,0.209,23.8,53.027,78.079,98.539,1.253,24.635,50.939,74.948,98.539,0.626,22.756,48.643,73.695,100.0,0.209,26.096,49.896,76.409,99.374,1
Positive_116,0.324,0.418,0.258,0.442,0.314,0.244,0.425,0.277,0.299,0.085,0.8,0.115,0.358,0.297,0.344,0.381,0.362,0.258,0.314,0.371,0.314,0.282,0.161,0.25,0.255,0.2,0.167,0.225,0.225,0.175,0.145,0.019,0.176,0.241,0.239,0.192,0.291,0.198,0.213,0.222,0.2,0.252,0.472,26.887,52.987,76.415,100.0,0.314,22.013,48.899,74.371,99.843,0.157,24.371,47.17,70.126,99.371,0.314,26.887,50.157,72.956,100.0,0.943,20.755,48.428,75.0,99.686,0.157,23.742,50.943,76.415,99.214,0.157,22.013,49.371,74.214,100.0,0.472,27.83,50.786,72.013,99.843,0.629,24.843,50.472,76.73,98.585,2.516,19.025,45.912,74.686,96.698,0.157,26.101,50.943,75.472,100.0,3.302,20.755,39.308,68.396,99.686,0.157,22.642,47.013,71.541,99.843,0.472,26.572,51.887,76.415,100.0,0.943,23.27,49.371,75.0,99.686,0.472,26.415,51.73,75.943,100.0,0.314,21.226,49.686,75.157,99.843,0.157,24.371,47.17,70.126,99.371,0.943,20.755,48.428,75.0,99.686,0.472,26.887,53.616,76.572,100.0,0.157,22.642,46.855,71.226,99.843,1
Positive_117,0.338,0.412,0.25,0.426,0.294,0.279,0.441,0.279,0.279,0.132,0.735,0.132,0.368,0.309,0.324,0.412,0.338,0.25,0.294,0.368,0.338,0.358,0.179,0.194,0.239,0.179,0.224,0.239,0.269,0.209,0.209,0.0,0.254,0.328,0.254,0.179,0.358,0.209,0.164,0.239,0.224,0.328,10.294,20.588,47.059,77.941,97.059,2.941,27.941,51.471,66.176,100.0,1.471,8.824,44.118,67.647,94.118,8.824,23.529,41.176,75.0,98.529,4.412,30.882,50.0,66.176,100.0,1.471,10.294,52.941,73.529,94.118,1.471,25.0,55.882,76.471,100.0,8.824,17.647,45.588,73.529,94.118,2.941,19.118,41.176,64.706,97.059,4.412,30.882,44.118,57.353,88.235,1.471,22.059,48.529,75.0,98.529,7.353,13.235,47.059,63.235,100.0,1.471,22.059,45.588,70.588,98.529,2.941,20.588,41.176,77.941,97.059,4.412,25.0,50.0,66.176,100.0,2.941,20.588,47.059,73.529,97.059,7.353,32.353,51.471,75.0,100.0,1.471,8.824,44.118,67.647,94.118,4.412,30.882,50.0,66.176,100.0,2.941,20.588,45.588,77.941,97.059,1.471,17.647,42.647,70.588,98.529,1
Positive_118,0.303,0.492,0.205,0.451,0.319,0.23,0.423,0.306,0.271,0.082,0.811,0.107,0.36,0.322,0.319,0.382,0.413,0.205,0.319,0.344,0.338,0.326,0.136,0.171,0.301,0.196,0.155,0.244,0.256,0.174,0.152,0.013,0.177,0.256,0.25,0.206,0.361,0.165,0.142,0.218,0.237,0.244,1.262,18.297,42.587,67.192,97.792,0.631,27.76,55.521,77.603,100.0,0.315,23.344,50.789,76.341,98.423,0.946,21.451,47.634,76.341,100.0,1.893,27.76,55.521,76.025,99.685,0.315,23.344,41.64,64.038,98.107,0.315,21.451,47.003,74.448,100.0,0.946,23.659,47.95,73.817,96.215,0.631,32.492,53.628,74.132,99.685,2.839,28.076,54.574,76.972,98.423,0.315,24.29,47.95,73.186,100.0,1.893,22.082,55.521,74.763,98.738,0.315,26.183,49.842,76.341,100.0,0.631,18.297,42.587,70.347,98.107,1.893,27.76,55.521,76.025,99.685,0.631,20.189,43.218,69.401,98.107,1.577,27.129,55.521,77.603,100.0,0.315,23.344,50.789,76.341,98.423,1.893,27.76,55.521,76.025,99.685,0.631,18.612,41.956,69.401,98.107,0.315,24.29,49.842,76.656,100.0,1
Positive_119,0.426,0.325,0.25,0.428,0.329,0.244,0.416,0.244,0.341,0.101,0.784,0.115,0.283,0.372,0.345,0.446,0.305,0.25,0.329,0.428,0.244,0.256,0.196,0.177,0.284,0.23,0.145,0.202,0.236,0.177,0.149,0.026,0.188,0.21,0.218,0.226,0.244,0.204,0.169,0.246,0.183,0.21,0.99,24.554,49.109,72.277,99.604,1.386,20.99,47.525,73.465,99.406,0.198,29.109,54.059,79.604,100.0,1.386,26.337,50.297,74.257,100.0,0.594,18.02,47.129,73.663,99.406,0.198,24.95,52.871,76.04,99.604,0.198,15.05,40.792,69.901,99.406,0.396,30.891,48.911,80.0,100.0,0.99,34.059,54.653,76.04,98.614,0.594,16.634,41.386,69.901,93.861,0.198,25.743,50.891,75.05,100.0,4.95,24.752,47.723,73.465,99.406,0.198,32.079,53.267,79.802,100.0,0.99,23.96,49.109,72.673,99.604,0.594,18.218,47.129,71.287,99.406,0.99,25.149,50.495,72.673,99.604,1.386,17.03,46.337,71.485,99.406,0.198,29.109,54.059,79.604,100.0,0.594,18.02,47.129,73.663,99.406,0.396,24.356,51.485,73.267,99.604,0.198,31.881,52.277,79.01,100.0,1
Positive_120,0.279,0.471,0.25,0.448,0.325,0.227,0.408,0.326,0.265,0.117,0.791,0.092,0.381,0.279,0.339,0.339,0.411,0.25,0.325,0.319,0.356,0.26,0.133,0.226,0.282,0.207,0.14,0.255,0.194,0.177,0.176,0.033,0.136,0.212,0.262,0.174,0.269,0.152,0.207,0.192,0.23,0.227,0.587,23.709,50.117,71.479,99.765,0.352,26.526,49.648,75.469,100.0,0.117,21.831,49.413,77.582,99.648,0.352,26.761,55.047,78.521,99.883,0.235,26.995,50.939,75.822,100.0,0.117,19.014,40.61,65.728,98.592,0.117,27.113,58.333,77.582,100.0,0.352,23.474,44.836,72.535,98.944,0.587,24.178,46.948,72.066,99.296,0.235,29.577,54.577,81.221,99.648,0.117,24.648,48.826,73.122,100.0,3.756,20.892,54.225,76.878,99.531,0.117,24.061,51.291,77.7,99.883,0.587,25.117,47.77,69.953,99.765,0.235,25.352,49.531,75.587,100.0,0.587,23.239,46.596,69.953,99.765,0.352,29.46,53.404,76.643,100.0,0.117,21.831,49.413,77.582,99.648,0.235,26.995,50.939,75.822,100.0,0.587,24.178,47.183,70.54,99.765,0.117,24.413,51.526,78.052,99.883,1
Positive_121,0.331,0.409,0.26,0.436,0.293,0.271,0.481,0.26,0.26,0.083,0.801,0.116,0.343,0.32,0.337,0.37,0.37,0.26,0.293,0.387,0.32,0.283,0.156,0.217,0.278,0.239,0.144,0.272,0.278,0.117,0.128,0.017,0.194,0.239,0.244,0.211,0.267,0.194,0.178,0.211,0.211,0.239,1.105,20.442,38.674,64.641,100.0,2.21,25.414,56.354,74.033,98.343,0.552,24.309,53.039,79.006,99.448,2.21,24.862,51.381,74.033,100.0,1.657,19.89,46.961,77.901,99.448,0.552,26.519,48.619,65.746,98.343,0.552,20.994,49.171,74.586,99.448,1.105,29.282,57.459,76.796,97.79,1.657,22.099,42.541,65.193,100.0,3.867,9.945,24.309,75.138,99.448,0.552,25.967,50.276,73.481,100.0,1.657,34.254,54.696,72.928,92.265,0.552,28.177,53.039,74.033,97.79,1.105,22.099,38.674,65.193,100.0,1.657,23.757,54.696,78.453,99.448,1.105,22.099,40.331,65.193,100.0,2.21,23.204,56.354,74.033,96.685,0.552,24.309,53.039,79.006,99.448,1.657,19.89,46.961,77.901,99.448,1.105,26.519,50.276,70.166,100.0,0.552,23.204,51.381,72.376,96.685,1
Positive_122,0.341,0.449,0.211,0.468,0.301,0.231,0.445,0.258,0.297,0.093,0.79,0.117,0.339,0.337,0.324,0.402,0.388,0.211,0.301,0.393,0.307,0.311,0.149,0.185,0.292,0.213,0.143,0.234,0.253,0.156,0.152,0.022,0.186,0.241,0.221,0.228,0.323,0.177,0.156,0.251,0.183,0.254,0.129,27.057,53.599,76.414,99.936,0.257,23.65,47.429,74.936,100.0,0.064,23.265,48.458,72.943,99.679,0.193,25.707,50.0,75.193,100.0,0.257,24.55,48.136,75.964,99.679,0.064,23.458,50.578,72.494,99.936,0.064,25.707,48.008,72.558,99.807,0.193,25.193,49.357,76.35,100.0,0.129,23.972,53.856,77.635,99.936,2.185,24.55,47.365,72.943,99.679,0.064,25.193,50.257,75.321,100.0,2.057,23.329,49.871,73.329,99.614,0.064,23.65,47.301,73.907,100.0,0.129,26.028,52.057,75.321,99.936,0.257,25.0,50.064,75.964,99.679,0.129,25.386,51.35,75.771,99.936,0.257,25.193,48.265,75.129,100.0,0.064,23.265,48.458,72.943,99.679,0.257,24.55,48.136,75.964,99.679,0.129,26.028,52.699,75.193,99.936,0.064,23.715,47.044,73.972,100.0,1
Positive_123,0.307,0.432,0.261,0.423,0.267,0.31,0.33,0.362,0.307,0.116,0.786,0.099,0.357,0.359,0.284,0.467,0.272,0.261,0.267,0.417,0.316,0.241,0.166,0.238,0.247,0.32,0.137,0.259,0.198,0.209,0.186,0.029,0.14,0.297,0.203,0.198,0.253,0.256,0.148,0.215,0.169,0.302,0.87,26.957,48.986,73.043,98.841,0.58,22.899,44.928,71.594,100.0,0.29,24.928,56.812,79.71,99.42,0.58,21.449,44.928,73.043,100.0,6.087,34.783,61.449,82.319,99.42,0.29,21.159,44.058,66.957,99.71,0.29,26.377,56.812,80.0,99.42,0.58,22.899,44.928,71.884,100.0,0.87,24.638,46.957,69.855,99.71,6.087,27.826,64.058,82.609,99.42,0.29,23.188,46.377,71.884,100.0,7.826,34.783,61.449,82.319,98.841,0.29,19.71,44.348,72.754,100.0,0.87,23.478,43.768,68.696,99.71,4.348,34.783,61.449,82.319,99.42,0.87,24.638,46.667,70.435,100.0,0.58,22.319,47.246,73.333,99.13,0.29,24.928,56.812,79.71,99.42,6.087,34.783,61.449,82.319,99.42,0.87,24.638,45.797,68.696,99.71,0.29,19.71,43.478,73.623,100.0,1
Positive_124,0.348,0.432,0.22,0.412,0.263,0.325,0.404,0.263,0.333,0.1,0.81,0.09,0.312,0.402,0.286,0.47,0.31,0.22,0.263,0.444,0.293,0.315,0.152,0.156,0.206,0.253,0.169,0.201,0.253,0.171,0.158,0.015,0.139,0.261,0.169,0.227,0.298,0.203,0.105,0.242,0.133,0.281,0.641,21.368,48.291,75.0,98.932,0.427,24.573,46.795,74.786,99.786,0.214,28.632,53.846,73.718,100.0,0.427,17.735,44.444,71.368,99.573,4.915,29.274,53.419,72.65,100.0,0.214,29.487,53.205,78.205,99.786,0.214,18.803,47.009,69.658,100.0,0.855,28.632,49.786,73.291,99.573,1.068,26.923,51.923,79.274,99.786,4.915,21.581,53.419,82.692,100.0,0.214,23.932,48.291,75.214,99.786,6.197,28.419,58.12,72.436,98.932,0.214,23.504,47.863,73.718,99.573,0.641,22.009,48.077,76.923,99.786,4.915,28.419,53.846,72.436,100.0,0.641,22.222,47.65,76.496,99.786,0.427,24.786,47.436,72.009,98.504,0.214,28.632,53.846,73.718,100.0,4.915,29.274,53.419,72.65,100.0,0.641,22.009,48.718,76.923,99.786,0.214,23.504,47.436,73.504,99.573,1
